"Software","Ring","Quadrant","Description"
Apache Ignite,Employ,Management and Monitoring,"Apache Ignite is a distributed database, caching, and in-memory computing platform designed for high-performance, low-latency applications."
Address Doctor,Employ,Platforms,"A software solution that provides address validation and data quality services. It is often used by businesses and organizations to ensure that the addresses they collect and store in their databases are accurate and up-to-date. Address validation is crucial for a variety of purposes, including shipping, marketing, and customer communications."
Gatling,Employ,Development Tools and Automation,Load test tool for DevOps and CI/CD
Next.JS,Employ,Languages and Frameworks,"Next.js is an open-source React framework for building web applications. It provides features such as server-side rendering, static site generation, API routes, and built-in routing, enabling optimized performance and scalable production-ready applications.
"
Vaadin,Employ,Languages and Frameworks,Open source Apache web development 
Oracle Enterprise Manager,Employ,Development Tools and Automation,Oracle Enterprise Manager (OEM) is a set of web-based tools aimed at managing software and hardware produced by Oracle Corporation.
Blue Prism Robotic Process Automation,Deprecate,Development Tools and Automation,<o> SS&C | Blue Prism® offers a powerful combination of market-leading technologies that will help you realize the full potential of intelligent automation to deliver transformational business value. anyone with this use case should explore the use of power automate</p>
azure Fabric,Explore,Management and Monitoring,"<p>A all-in-one analytics platform that unifies data engineering, data integration, data warehousing, real-time analytics, and business intelligence under a single SaaS offering. Rather than stitching together separate Azure services (Synapse, Data Factory, Power BI, etc.), Fabric brings them all into one environment with a shared compute and storage layer.</p>"
BOBJ Reports,Retire,Analytics and Business Intelligence,"<p>a business intelligence (BI) and data analytics software platform developed by SAP SE. It provides a suite of tools and applications designed to help organizations gather, analyze, and visualize data to support data-driven decision-making.</p>"
AccuRoute Fax,Retire,Platforms,"<p>AccuRoute Fax provides secure and comprehensive cloud, hybrid, and on-premise centralized fax infrastructures in an enterprise-class fax solution</p>"
Azure Machine Learning,Explore,Languages and Frameworks,"<p>a cloud-based platform provided by Microsoft as part of the Azure cloud computing services. It is designed to help data scientists and machine learning engineers build, train, and deploy machine learning models and data analytics solutions in a scalable and collaborative manner.</p>"
Golden,Employ,Languages and Frameworks,"<p> A database query and development tool primarily designed for working with Oracle databases. Golden is known for its user-friendly and intuitive interface, making it easier for database professionals, developers, and analysts to interact with Oracle databases efficiently.</p>"
HLTH LDAP,Retire,Platforms,"<p>A directory server product developed by Sun Microsystems, which was later acquired by Oracle. This directory server is designed to store and manage directory information using the Lightweight Directory Access Protocol (LDAP). LDAP is a widely used protocol for accessing and managing directory information, including user accounts, groups, and other organizational data.</p>"
GNU Privacy Guard,Employ,Development Tools and Automation,"<p>a free and open-source software tool that provides cryptographic privacy and authentication for data communication and storage. It is based on the OpenPGP (Pretty Good Privacy) standard and is designed to ensure the confidentiality, integrity, and authenticity of data</p>"
phpMyAdmin,Deprecate,Languages and Frameworks,<p>a free and open-source web-based application that provides a graphical user interface (GUI) for managing and administering MySQL and MariaDB databases.</p>
ImageMagick,Employ,Languages and Frameworks,"<p>a free, open-source software suite, used for editing and manipulating digital images. It can be used to create, edit, compose, or convert bitmap images, and supports a wide range of file formats.</p>vvvvvv"
AWS Systems Manager,Employ,Languages and Frameworks,"<p>A management service provided by Amazon Web Services (AWS) that helps you manage and automate various operational tasks and resources within your AWS environment. It offers a wide range of capabilities designed to simplify system administration, enhance security, and improve resource management.</p>"
AWS Aurora Postgres,Employ,Platforms,"<p>Amazon Aurora is a relational database service offered by Amazon Web Services (AWS). It is designed to provide a highly available, scalable, and performant relational database engine that is compatible with MySQL and PostgreSQL. </p>"
AWS Cloud Front,Employ,Platforms,"<p>Amazon CloudFront is a content delivery network (CDN) service provided by Amazon Web Services (AWS). It is designed to help businesses and developers distribute content, such as web pages, images, videos, and other resources, to end-users with low latency and high data transfer speeds.  </p>"
AWS Cloud Watch,Employ,Management and Monitoring,<p>Amazon CloudWatch is a metrics repository.</p>
DocumentDB,Employ,Platforms,"<p>Amazon DocumentDB is a fully managed, scalable, NoSQL database service provided by Amazon Web Services (AWS). It is designed to store, query, and scale semi-structured JSON data while providing high availability and compatibility with the MongoDB API. </P>"
